faq_id,category,question_text,answer_text
dp_faq_751,"Company Specifics & Policies","Kya aapke paas delivery ke alawa koi aur job hai?","Hummare pass delivery job hain, humaare paas dark store/warehouse jaisi fixed salary jobs bhi hain"
dp_faq_752,"Company Specifics & Policies","Aapke paas kaunse job hain?","Humaare pass Food aur Grocery delivery jobs hain jaise - Swiggy, Zomato, Zepto"
dp_faq_753,"Earnings & Payment","Per order kitna milta hai?","Per order company par depend karta hai, 20 से 25 rupay milta hai aur extra kilometers ka incentive upar se mil sakta hai"
dp_faq_754,"Earnings & Payment","Weekly kitna earning hota hai?","Weekly 5000 से 6000 rupay tak ka earning hota hai"
dp_faq_755,"Earnings & Payment","Monthly kitna earning hota hai?","Monthly 20 से 30 hazaar tak ka earning hoga"
dp_faq_755,"Earnings & Payment","kitna paisa milega","Monthly 20 से 30 hazaar tak ka earning hoga"
dp_faq_756,"Earnings & Payment","Incentive kitna milega?","Shift aur kilometers ke hisaab se aapko incentive milega; Saturday Sunday ka bhi incentive milega. Iske alava salary aapka 20 से 30 Hazaar ho sakta hai"
dp_faq_757,"Company Specifics & Policies","Sabse acha company kaunsa hai?","Ji, ye to aapki preference par nirbhar karta hai."
dp_faq_758,"Work Hours & Flexibility","Kitne ghante kaam karna padega?","Full time mein aapko 10 ghante, part time mein 4 से 5 ghante kaam karna padta hai"
dp_faq_759,"Joining Process & Fees","Joining fees dena hoga kya?","Aam tor par aisi koi fees nahi hoti hai."
dp_faq_760,"About the Job & Work","Kitna kilometers jaana hoga delivery ke liye?","Delivery 4 kilometers ke radius mein jana hoga, upar se extra kilometers ka incentive milega"
dp_faq_761,"About the Job & Work","Har ghante kitne orders milenge?","Har ghante aapko 2 से 5 order mil sakte hain."
dp_faq_762,"Company Specifics & Policies","Customer ne order cancel kiya toh kya karna hoga?","Iske baare mein mere supervisor aapko aur details bata denge"
dp_faq_763,"Requirements (Vehicle & Documents)","Mere paas bike nahi hai","Koi baat nahi, apke sheher mein Yulu rental bike ka option hai. Aap voh rent kar sakte hain"
dp_faq_764,"Requirements (Vehicle & Documents)","Mere paas DL ya driver license nahi hai","Aap electric bike bhi use kar sakte hain aur job start kar sakte hain"
dp_faq_751,"Company Specifics & Policies","Do you have any jobs other than delivery?","We have delivery jobs, and we also have fixed salary jobs like dark store/warehouse positions."
dp_faq_752,"Company Specifics & Policies","What kind of jobs?","We have Food and Grocery delivery jobs with companies like Swiggy, Zomato, and Zepto."
dp_faq_753,"Earnings & Payment","How much do I get per order?","The pay per order depends on the company; you can get 20 to 25 rupay, and you might also receive an incentive for extra kilometers."
dp_faq_754,"Earnings & Payment","What are the weekly earnings?","Weekly earnings can be up to 5000 से 6000 rupay."
dp_faq_755,"Earnings & Payment","What are the monthly earnings?","Monthly earnings will be around 20 से 25 hazaar for full time."
dp_faq_756,"Earnings & Payment","How much incentive will I get?","You will receive incentives based on your shift and kilometers; you will also get incentives for Saturdays and Sundays."
dp_faq_757,"Company Specifics & Policies","Which is the best company?","it depends on your preference. but we have good companies like, swiggy, zomato, blinkit"
dp_faq_758,"Work Hours & Flexibility","How many hours do I have to work?","For full-time, you have to work 10 hours, and for part-time, you have to work 4 to 5 hours."
dp_faq_759,"Joining Process & Fees","Do I have to pay joining fees?","Generally, there are no such fees."
dp_faq_760,"About the Job & Work","How many kilometers do I have to travel for delivery?","You will have to deliver within a 4 kilometers radius, and you will get an incentive for extra kilometers on top of that."
dp_faq_761,"About the Job & Work","How many orders will I get per hour?","You will get around 2 to 5 orders per hour"
dp_faq_762,"Company Specifics & Policies","What should I do if a customer cancels an order?","My supervisor will give you more details about this."
dp_faq_763,"Requirements (Vehicle & Documents)","I don't have a bike.","No problem. In your city, there is an option for Yulu rental bikes. You can rent that."
dp_faq_764,"Requirements (Vehicle & Documents)","I don't have a Driving License.","You can also use an electric bike and start the job."
dp_faq_751,"Company Specifics & Policies","क्या आपके पास डिलीवरी के अलावा कोई और जॉब है?","हमारे पास डिलीवरी जॉब हैं, हमारे पास डार्क स्टोर/वेयरहाउस जैसी फिक्स्ड सैलरी जॉब्स भी हैं।"
dp_faq_752,"Company Specifics & Policies","आपके पास कौनसे जॉब हैं?","हमारे पास फ़ूड और ग्रोसरी डिलीवरी जॉब्स हैं जैसे - स्विगी, ज़ोमैटो, ज़ेप्टो।"
dp_faq_753,"Earnings & Payment","पर आर्डर कितना मिलता है?","पर आर्डर कंपनी पर निर्भर करता है, 20 से 25 रुपये मिलता है और एक्स्ट्रा किलोमीटर का इंसेंटिव ऊपर से मिल सकता है।"
dp_faq_754,"Earnings & Payment","वीकली कितना अर्निंग होता है?","वीकली 5000 से 6000 रुपये तक का अर्निंग होता है।"
dp_faq_757,"Company Specifics & Policies","सबसे अच्छा कंपनी कौनसा है?","जी सर, ये तो आपकी प्रेफरेंस पर निर्भर करता है।"
dp_faq_758,"Work Hours & Flexibility","कितने घंटे काम करना पड़ेगा?","फुल टाइम में आपको 10 घंटे, पार्ट टाइम में 4 से 5 घंटे काम करना पड़ता है।"
dp_faq_759,"Joining Process & Fees","जॉइनिंग फीस देना होगा क्या?","आम तौर पर ऐसी कोई फीस नहीं होती है।"
dp_faq_760,"About the Job & Work","कितना किलोमीटर जाना होगा डिलीवरी के लिए?","डिलीवरी 4 किलोमीटर के रेडियस में जाना होगा, ऊपर से एक्स्ट्रा किलोमीटर का इंसेंटिव मिलेगा।"
dp_faq_761,"About the Job & Work","हर घंटे कितने ऑर्डर्स मिलेंगे?","हर घंटे आपको 5 से ज़्यादा ऑर्डर्स मिलेंगे। मिनिमम 5 आर्डर मिल सकता है।"
dp_faq_762,"Company Specifics & Policies","कस्टमर ने आर्डर कैंसिल किया तो क्या करना होगा?","इसके बारे में मेरे सुपरवाइजर आपको और डिटेल्स बता देंगे।"
dp_faq_763,"Requirements (Vehicle & Documents)","मेरे पास बाइक नहीं है।","कोई बात नहीं है सर, आपके शहर में युलु रेंटल बाइक का ऑप्शन है। आप बाइक रेंट kar sakte hain"
dp_faq_764,"Requirements (Vehicle & Documents)","मेरे पास डीएल नहीं है।","आप इलेक्ट्रिक बाइक भी इस्तेमाल कर सकते हैं और जॉब स्टार्ट कर सकते हैं।"
dp_faq_751,"Company Specifics & Policies","क्या आपके पास डिलीवरी के अलावा कोई और जॉब है?","हमारे पास डिलीवरी जॉब हैं, हमारे पास डार्क स्टोर/वेयरहाउस जैसी फिक्स्ड सैलरी जॉब्स भी हैं।"
dp_faq_752,"Company Specifics & Policies","आपके पास कौनसे जॉब हैं?","हमारे पास फ़ूड और ग्रोसरी डिलीवरी जॉब्स हैं जैसे - स्विगी, ज़ोमैटो, ज़ेप्टो।"
dp_faq_753,"Earnings & Payment","पर आर्डर कितना मिलता है?","पर आर्डर कंपनी पर निर्भर करता है, 20 से 25 रुपये मिलता है और एक्स्ट्रा किलोमीटर का इंसेंटिव ऊपर से मिल सकता है।"
dp_faq_754,"Earnings & Payment","वीकली कितना अर्निंग होता है?","वीकली 5000 से 6000 रुपये तक का अर्निंग होता है।"
dp_faq_756,"Earnings & Payment","इंसेंटिव कितना मिलेगा?","शिफ्ट और किलोमीटर के हिसाब से आपको इंसेंटिव मिलेगा; सैटरडे सन्डे का भी इंसेंटिव मिलेगा। इसके अलावा सैलरी आपकी 20 से 30 हजार हो सकती है"
dp_faq_757,"Company Specifics & Policies","सबसे अच्छा कंपनी कौनसा है?","जी सर, ये तो आपकी प्रेफरेंस पर निर्भर करता है।"
dp_faq_758,"Work Hours & Flexibility","कितने घंटे काम करना पड़ेगा?","फुल टाइम में आपको 10 घंटे, पार्ट टाइम में 4 से 5 घंटे काम करना पड़ता है।"
dp_faq_759,"Joining Process & Fees","जॉइनिंग फीस देना होगा क्या?","आम तौर पर ऐसी कोई फीस नहीं होती है।"
dp_faq_760,"About the Job & Work","कितना किलोमीटर जाना होगा डिलीवरी के लिए?","डिलीवरी 4 किलोमीटर के रेडियस में जाना होगा, ऊपर से एक्स्ट्रा किलोमीटर का इंसेंटिव मिलेगा।"
dp_faq_761,"About the Job & Work","हर घंटे कितने ऑर्डर्स मिलेंगे?","हर घंटे आपको 5 से ज़्यादा ऑर्डर्स मिलेंगे। मिनिमम 5 आर्डर मिल सकता है।"
dp_faq_762,"Company Specifics & Policies","कस्टमर ने आर्डर कैंसिल किया तो क्या करना होगा?","इसके बारे में मेरे सुपरवाइजर आपको और डिटेल्स बता देंगे।"
dp_faq_763,"Requirements (Vehicle & Documents)","मेरे पास बाइक नहीं है।","कोई बात नहीं है सर, आपके शहर में युलु रेंटल बाइक का ऑप्शन है। अगर आप बाइक रेंट करना चाहते हैं, तो मैं आपको आगे का प्रोसेस बता सकता हूँ।"
dp_faq_764,"Requirements (Vehicle & Documents)","मेरे पास डीएल नहीं है।","आप इलेक्ट्रिक बाइक भी इस्तेमाल कर सकते हैं और जॉब स्टार्ट कर सकते हैं।"
dp_faq_751,"Company Specifics & Policies","क्या आपके पास डिलीवरी के अलावा कोई और जॉब है?","हमारे पास डिलीवरी जॉब हैं, हमारे पास डार्क स्टोर/वेयरहाउस जैसी फिक्स्ड सैलरी जॉब्स भी हैं।"
dp_faq_752,"Company Specifics & Policies","आपके पास कौनसे जॉब हैं?","हमारे पास फ़ूड और ग्रोसरी डिलीवरी जॉब्स हैं जैसे - स्विगी, ज़ोमैटो, ज़ेप्टो।"
dp_faq_753,"Earnings & Payment","पर आर्डर कितना मिलता है?","पर आर्डर कंपनी पर निर्भर करता है, 20 से 25 रुपये मिलता है और एक्स्ट्रा किलोमीटर का इंसेंटिव ऊपर से मिल सकता है।"
dp_faq_754,"Earnings & Payment","वीकली कितना अर्निंग होता है?","वीकली 5000 से 6000 रुपये तक का अर्निंग होता है।"
dp_faq_755,"Earnings & Payment","मंथली कितना अर्निंग होता है?","मंथली 20 से 30 hazaar तक का अर्निंग होगा।"
dp_faq_757,"Company Specifics & Policies","सबसे अच्छा कंपनी कौनसा है?","जी सर, ये तो आपकी प्रेफरेंस पर निर्भर करता है।"
dp_faq_758,"Work Hours & Flexibility","कितने घंटे काम करना पड़ेगा?","फुल टाइम में आपको 10 घंटे, पार्ट टाइम में 4 से 5 घंटे काम करना पड़ता है।"
dp_faq_759,"Joining Process & Fees","जॉइनिंग फीस देना होगा क्या?","आम तौर पर ऐसी कोई फीस नहीं होती है।"
dp_faq_760,"About the Job & Work","कितना किलोमीटर जाना होगा डिलीवरी के लिए?","डिलीवरी 4 किलोमीटर के रेडियस में जाना होगा, ऊपर से एक्स्ट्रा किलोमीटर का इंसेंटिव मिलेगा।"
dp_faq_761,"About the Job & Work","हर घंटे कितने ऑर्डर्स मिलेंगे?","हर घंटे आपको 5 से ज़्यादा ऑर्डर्स मिलेंगे। मिनिमम 5 आर्डर मिल सकता है।"
dp_faq_762,"Company Specifics & Policies","कस्टमर ने आर्डर कैंसिल किया तो क्या करना होगा?","इसके बारे में मेरे सुपरवाइजर आपको और डिटेल्स बता देंगे।"
dp_faq_763,"Requirements (Vehicle & Documents)","मेरे पास बाइक नहीं है।","कोई बात नहीं है सर, आपके शहर में युलु रेंटल बाइक का ऑप्शन है। अगर आप बाइक रेंट करना चाहते हैं, तो मैं आपको आगे का प्रोसेस बता सकता हूँ।"
dp_faq_764,"Requirements (Vehicle & Documents)","मेरे पास डीएल नहीं है।","आप इलेक्ट्रिक बाइक भी इस्तेमाल कर सकते हैं और जॉब स्टार्ट कर सकते हैं।"
dp_faq_751,"Company Specifics & Policies","क्या आपके पास डिलीवरी के अलावा कोई और जॉब है?","हमारे पास डिलीवरी जॉब हैं, हमारे पास डार्क स्टोर/वेयरहाउस जैसी फिक्स्ड सैलरी जॉब्स भी हैं।"
dp_faq_752,"Company Specifics & Policies","आपके पास कौनसे जॉब हैं?","हमारे पास फ़ूड और ग्रोसरी डिलीवरी जॉब्स हैं जैसे - स्विगी, ज़ोमैटो, ज़ेप्टो।"
dp_faq_753,"Earnings & Payment","पर आर्डर कितना मिलता है?","पर आर्डर कंपनी पर निर्भर करता है, 20 से 25 रुपये मिलता है और एक्स्ट्रा किलोमीटर का इंसेंटिव ऊपर से मिल सकता है।"
dp_faq_754,"Earnings & Payment","वीकली कितना अर्निंग होता है?","वीकली 5000 से 6000 रुपये तक का अर्निंग होता है।"
dp_faq_755,"Earnings & Payment","मंथली कितना अर्निंग होता है?","मंथली 20 से 30 hazaar तक का अर्निंग होगा।"
dp_faq_756,"Earnings & Payment","इंसेंटिव कितना मिलेगा?","शिफ्ट और किलोमीटर के हिसाब से आपको इंसेंटिव मिलेगा; सैटरडे सन्डे का भी इंसेंटिव मिलेगा।"
dp_faq_757,"Company Specifics & Policies","सबसे अच्छा कंपनी कौनसा है?","जी सर, ये तो आपकी प्रेफरेंस पर निर्भर करता है।"
dp_faq_758,"Work Hours & Flexibility","कितने घंटे काम करना पड़ेगा?","फुल टाइम में आपको 10 घंटे, पार्ट टाइम में 4 से 5 घंटे काम करना पड़ता है।"
dp_faq_759,"Joining Process & Fees","जॉइनिंग फीस देना होगा क्या?","आम तौर पर ऐसी कोई फीस नहीं होती है।"
dp_faq_760,"About the Job & Work","कितना किलोमीटर जाना होगा डिलीवरी के लिए?","डिलीवरी 4 किलोमीटर के रेडियस में जाना होगा, ऊपर से एक्स्ट्रा किलोमीटर का इंसेंटिव मिलेगा।"
dp_faq_761,"About the Job & Work","हर घंटे कितने ऑर्डर्स मिलेंगे?","हर घंटे आपको 5 से ज़्यादा ऑर्डर्स मिलेंगे। मिनिमम 5 आर्डर मिल सकता है।"
dp_faq_762,"Company Specifics & Policies","कस्टमर ने आर्डर कैंसिल किया तो क्या करना होगा?","इसके बारे में मेरे सुपरवाइजर आपको और डिटेल्स बता देंगे।"
dp_faq_763,"Requirements (Vehicle & Documents)","मेरे पास बाइक नहीं है।","कोई बात नहीं है सर, आपके शहर में युलु रेंटल बाइक का ऑप्शन है। अगर आप बाइक रेंट करना चाहते हैं, तो मैं आपको आगे का प्रोसेस बता सकता हूँ।"
dp_faq_764,"Requirements (Vehicle & Documents)","मेरे पास डीएल नहीं है।","आप इलेक्ट्रिक बाइक भी इस्तेमाल कर सकते हैं और जॉब स्टार्ट कर सकते हैं।"
dp_faq_765,"Work Hours & Flexibility","जी मैं अलरेडी काम कर रहा हूँ","आप इसमें एक्सिस्टिंग जॉब के साथ पार्ट टाइम भी काम कर सकते हैं"
dp_faq_766,"About the Job & Work","किस चीज़ की डिलीवरी?","सर हमारे पास फ़ूड और ग्रोसरी की डिलीवरी जॉब्स हैं"
dp_faq_766,"About the Job & Work","What kind of delivery?","we have food and grocery delivery jobs"
dp_faq_768,"Work Hours & Flexibility","yeh full time hai ya part time?","Humaare paas full time aur part time dono options available hain. Aapko kis option mein interest hain?"
dp_faq_768,"Work Hours & Flexibility","Is this full time or part time?","we have both full-time and part-time options available. Which option are you interested in?"
dp_faq_768,"Work Hours & Flexibility","ये फुल टाइम है या पार्ट टाइम?","हमारे पास फुल टाइम और पार्ट टाइम दोनों ऑप्शन्स उपलब्ध हैं सर। आपको किस ऑप्शन में इंटरेस्ट है?"
dp_faq_769,"Earnings & Payment","kitni salary hain?","aap mahine me 25 से 30 hazaar tak kama sakte hain"
dp_faq_769,"Earnings & Payment","What is the salary?","you can earn up to 25 से 30 hazaar per month"
dp_faq_769,"Earnings & Payment","कितनी सैलरी है?","सर आप महीने में 25 से 30 hazaar तक कमा सकते हैं"
dp_faq_770,"Requirements (Vehicle & Documents)","I have never done a delivery job before","No problem, experience is not required for this job. Would you like to do this delivery job?"
dp_faq_770,"Requirements (Vehicle & Documents)","मैंने पहले कोई डिलीवरी जॉब नहीं की है","कोई बात नहीं सर, इस जॉब के लिए एक्सपीरियंस की जरूरत नहीं है। क्या आप ये डिलीवरी जॉब करना चाहेंगे?"
dp_faq_770,"Requirements (Vehicle & Documents)","Maine pehle koi delivery job nahi ki hai","Koi baat nahi, is job ke liye experience ki zarurat nahi hai. Kya aap ye delivery job karna chahenge?"
dp_faq_771,"Earnings & Payment","petrol mujhe hi dena padega kya?","Haan, petrol ka kharch aapko khud uthana hoga, lekin first ride ke liye aapko वाहन se 100 rupees milenge! Aap kis sheher mein kaam karna chahenge?"
dp_faq_771,"Earnings & Payment","Do I have to pay for petrol myself?","Yes, you will have to bear the petrol expenses yourself, but for the first ride you will get 100 rupees from there! In which city would you like to work?"
dp_faq_771,"Earnings & Payment","क्या पेट्रोल मुझे ही देना पड़ेगा?","हाँ सर, पेट्रोल का खर्च आपको खुद उठाना होगा, लेकिन पहली राइड के लिए आपको वहाँ से 100 रुपये मिलेंगे! आप किस शहर में काम करना चाहेंगे?"
dp_faq_772,"Work Hours & Flexibility","मैं पहले से ही जॉब में हूँ","आप इसमें एक्सिस्टिंग जॉब के साथ पार्ट टाइम भी काम कर सकते हैं और महीने में 11 से 15 hazaar तक कमा सकते हैं। क्या आप पार्ट टाइम में इंटरेस्टेड हैं?"
dp_faq_772,"Work Hours & Flexibility","I am already in a job","You can work part-time along with your existing job and earn up to 11 to 15 thousands per month. Are you interested in part-time?"
dp_faq_773,"Company Specifics & Policies","कहाँ से बोल रहे हो?","Mein वाहन jobs se call kar rahi hoon. Humaare paas aapke liye ek achi job hai. Kya aap interested hain?"
dp_faq_773,"Company Specifics & Policies","kaha se bol rahe ho?","Mein वाहन jobs se call kar rahi hoon. Humaare paas aapke liye ek achi job hai. Kya aap interested hain?"
dp_faq_773,"Company Specifics & Policies","Where are you calling from?","Mein वाहन jobs se call kar rahi hoon. Humaare paas aapke liye ek achi job hai. Kya aap interested hain?"
dp_faq_774,"Company Specifics & Policies","क्या जॉब है?","हमारे पास स्विगी, ज़ोमैटो, और ज़ेप्टो में डिलीवरी जॉब्स हैं जहाँ आप मंथली 20 से 30 hazaar तक कमा सकते हैं। आप इंटरेस्टेड हैं?"
dp_faq_774,"Company Specifics & Policies","kya job hai?","humaare paas swiggy, zomato, aur zepto me delivery jobs hain jaha aap Monthly 20 से 30 hazaar tak kama sakte hain. aap interested hai?"
dp_faq_774,"Company Specifics & Policies","What kind of job is it?","We have delivery jobs in Swiggy, Zomato, and Zepto where you can earn up to 20 से 30 hazaar monthly. Are you interested?"
dp_faq_775,"Initial greet and not audible","hello","if user says hello - reply with - नमस्ते, मेरा नाम प्रिया है और मैं वाहन जॉब्स से बात कर रही हूँ। हमारे पास आपके लिए एक नौकरी का अवसर है। क्या आप इसके बारे में और जानने में रुचि रखेंगे?"
dp_faq_775,"Initial greet and not audible","hello hello","if user says hello - reply with - नमस्ते, मेरा नाम प्रिया है और मैं वाहन जॉब्स से बात कर रही हूँ। हमारे पास आपके लिए एक नौकरी का अवसर है। क्या आप इसके बारे में और जानने में रुचि रखेंगे?"
dp_faq_776,"Company Specifics & Policies","कहाँ से बोल रहे हो?","मैं वहाँ से प्रिया बोल रही हूँ, हमारे पास डिलीवरी जॉब्स हैं।"
dp_faq_776,"Company Specifics & Policies","kaha se bol rahe ho?","Mai वाहन se priya bol rahi hun, humare pas delivery jobs hain."
dp_faq_776,"Company Specifics & Policies","Where are you calling from?","I am Priya calling from वाहन, we have delivery jobs."
